participant_id,condition,mode,language,set,created_at,completed_at,age,gender,education,robot_experience,instructions_time_sec,rules_time_sec,train_duration_sec,test_duration_sec,train_sel_total,train_dest_total,train_total,train_max,train_rule_consult,train_rule_time_sec,train_g1_selection_score,train_g1_selection_time_sec,train_g1_selection_rule_consult,train_g1_selection_rule_time_sec,train_g1_selection_correction_time_sec,train_g1_selection_correction_rule_time_sec,train_g1_kendall_tau,train_g1_correct_critical,train_g1_correct_moderate,train_g1_correct_stable,train_g1_correct_slot_critical,train_g1_correct_slot_moderate,train_g1_correct_slot_stable,train_g1_destinations_score,train_g1_destinations_time_sec,train_g1_destinations_rule_consult,train_g1_destinations_rule_time_sec,train_g1_destinations_correction_time_sec,train_g1_destinations_correction_rule_time_sec,train_g2_selection_score,train_g2_selection_time_sec,train_g2_selection_rule_consult,train_g2_selection_rule_time_sec,train_g2_selection_correction_time_sec,train_g2_selection_correction_rule_time_sec,train_g2_kendall_tau,train_g2_correct_critical,train_g2_correct_moderate,train_g2_correct_stable,train_g2_correct_slot_critical,train_g2_correct_slot_moderate,train_g2_correct_slot_stable,train_g2_destinations_score,train_g2_destinations_time_sec,train_g2_destinations_rule_consult,train_g2_destinations_rule_time_sec,train_g2_destinations_correction_time_sec,train_g2_destinations_correction_rule_time_sec,train_g3_selection_score,train_g3_selection_time_sec,train_g3_selection_rule_consult,train_g3_selection_rule_time_sec,train_g3_selection_correction_time_sec,train_g3_selection_correction_rule_time_sec,train_g3_kendall_tau,train_g3_correct_critical,train_g3_correct_moderate,train_g3_correct_stable,train_g3_correct_slot_critical,train_g3_correct_slot_moderate,train_g3_correct_slot_stable,train_g3_destinations_score,train_g3_destinations_time_sec,train_g3_destinations_rule_consult,train_g3_destinations_rule_time_sec,train_g3_destinations_correction_time_sec,train_g3_destinations_correction_rule_time_sec,test_sel_total,test_dest_total,test_total,test_max,test_rule_consult,test_rule_time_sec,test_g1_selection_score,test_g1_selection_time_sec,test_g1_selection_rule_consult,test_g1_selection_rule_time_sec,test_g1_selection_correction_time_sec,test_g1_selection_correction_rule_time_sec,test_g1_kendall_tau,test_g1_correct_critical,test_g1_correct_moderate,test_g1_correct_stable,test_g1_correct_slot_critical,test_g1_correct_slot_moderate,test_g1_correct_slot_stable,test_g1_destinations_score,test_g1_destinations_time_sec,test_g1_destinations_rule_consult,test_g1_destinations_rule_time_sec,test_g1_destinations_correction_time_sec,test_g1_destinations_correction_rule_time_sec,test_g2_selection_score,test_g2_selection_time_sec,test_g2_selection_rule_consult,test_g2_selection_rule_time_sec,test_g2_selection_correction_time_sec,test_g2_selection_correction_rule_time_sec,test_g2_kendall_tau,test_g2_correct_critical,test_g2_correct_moderate,test_g2_correct_stable,test_g2_correct_slot_critical,test_g2_correct_slot_moderate,test_g2_correct_slot_stable,test_g2_destinations_score,test_g2_destinations_time_sec,test_g2_destinations_rule_consult,test_g2_destinations_rule_time_sec,test_g2_destinations_correction_time_sec,test_g2_destinations_correction_rule_time_sec,test_g3_selection_score,test_g3_selection_time_sec,test_g3_selection_rule_consult,test_g3_selection_rule_time_sec,test_g3_selection_correction_time_sec,test_g3_selection_correction_rule_time_sec,test_g3_kendall_tau,test_g3_correct_critical,test_g3_correct_moderate,test_g3_correct_stable,test_g3_correct_slot_critical,test_g3_correct_slot_moderate,test_g3_correct_slot_stable,test_g3_destinations_score,test_g3_destinations_time_sec,test_g3_destinations_rule_consult,test_g3_destinations_rule_time_sec,test_g3_destinations_correction_time_sec,test_g3_destinations_correction_rule_time_sec,nasa_mental,nasa_physical,nasa_temporal,nasa_performance,nasa_effort,nasa_frustration,nasa_mean,ues_presentation_order,ues_FA1,ues_FA2,ues_FA3,ues_PU1,ues_PU2,ues_PU3,ues_AE1,ues_AE2,ues_AE3,ues_RW1,ues_RW2,ues_RW3,ues_FA_mean,ues_PU_mean,ues_AE_mean,ues_RW_mean,ues_total_mean,q_q1,q_q2,q_q3,q_q4,q_q5,q_q6,q_q7,q_q8,q_q9,q_q10
P027,web,error_based,en,A,2026-05-20T12:23:14.454215+00:00,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P026,web,error_based,es,A,2026-05-20T12:02:52.237113+00:00,2026-05-20T13:33:16.718041+00:00,35,female,master,,136,1921,1876,1468,5,10,15,30,0,0.0,2,150,0,0.0,250.5,0.0,0.8,2,0,1,1,0,1,1,571,0,0.0,56.5,0.0,3,302,0,0.0,90.7,0.0,0.7,2,3,0,2,1,0,5,223,0,0.0,45.2,0.0,0,251,0,0.0,188.2,0.0,0.5,0,0,1,0,0,0,4,250,0,0.0,24.4,0.0,7,10,17,30,0,0.0,3,345,0,0.0,50.3,0.0,0.9,2,0,1,2,0,1,3,121,0,0.0,21.9,0.0,3,559,0,0.0,48.2,0.0,0.7,2,3,0,2,1,0,4,139,0,0.0,10.8,0.0,1,162,0,0.0,37.8,0.0,0.6,1,0,0,1,0,0,3,101,0,0.0,4.8,0.0,50,50,50,50,50,50,50.0,"AE3,PU2,RW3,PU3,FA1,PU1,FA2,AE2,RW1,AE1,FA3,RW2",3,3,4,3,4,4,4,4,4,4,4,4,3.333,2.333,4.0,4.0,3.417,4,3,4,selection,2,3,4,,,
P025,web,guided,es,A,2026-05-20T11:58:21.810754+00:00,2026-05-20T12:19:30.751018+00:00,26,female,phd,,4,134,783,320,15,15,30,30,3,428.1,5,249,0,0.0,,0,1.0,3,1,1,3,1,1,5,283,0,0.0,,0,5,96,0,0.0,,0,1.0,2,3,0,2,3,0,5,131,0,0.0,,0,5,290,1,182.7,,0,1.0,1,2,2,1,2,2,5,363,2,245.4,,0,8,12,20,30,0,0.0,5,53,0,0.0,10.9,0.0,1.0,3,1,1,3,1,1,4,53,0,0.0,5.2,0.0,0,43,0,0.0,32.2,0.0,0.7,2,3,0,0,0,0,4,53,0,0.0,4.7,0.0,3,50,0,0.0,28.1,0.0,0.9,0,1,2,0,1,2,4,51,0,0.0,5,0.0,75,0,100,15,35,55,46.7,"FA1,AE2,RW3,FA2,PU3,AE3,RW1,FA3,PU1,PU2,RW2,AE1",3,5,5,3,4,1,4,5,2,3,4,5,4.333,3.333,3.667,4.0,3.833,3,2,5,selection,2,2,3,Tener presente todas las casuísticas y acordarme de ellas.,hacer más ejercicios de prueba,muy xulo!!!
P024,web,guided,es,A,2026-05-20T11:46:07.842170+00:00,,26,female,phd,,88,165,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P023,web,error_based,es,A,2026-05-20T11:38:35.689413+00:00,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P022,web,guided,es,A,2026-05-20T09:55:38.978577+00:00,2026-05-20T11:21:39.972724+00:00,33,female,master,,117,492,2223,2273,15,15,30,30,13,1344.6,5,970,4,567.4,,0,1.0,3,1,1,3,1,1,5,1075,4,567.4,,0,5,333,1,53.0,,0,1.0,2,3,0,2,3,0,5,406,2,115.9,,0,5,381,1,20.4,,0,1.0,1,2,2,1,2,2,5,415,1,20.4,,0,8,5,13,30,0,0.0,5,302,0,0.0,4.9,0.0,1.0,3,1,1,3,1,1,2,192,0,0.0,22.4,0.0,2,813,0,0.0,14,0.0,0.8,2,3,0,2,0,0,3,173,0,0.0,5.5,0.0,1,557,0,0.0,10.7,0.0,0.7,0,0,1,0,0,1,0,201,0,0.0,3,0.0,100,30,100,20,90,100,73.3,"FA1,RW3,PU3,AE3,PU1,RW2,RW1,AE1,FA3,AE2,FA2,PU2",4,2,4,4,4,4,5,4,5,4,4,4,3.333,2.0,4.667,4.0,3.5,4,2,2,all_equally,2,2,4,Discernir sobre el nivel de los riesgos,Más tiempo y práctica en la fase de entrenamiento,Muy exigente a nivel mental para una persona 0 familiarizada con el entorno y con conocimientos médicos muy básicos
P020,web,error_based,en,A,2026-05-20T09:36:18.493868+00:00,,26,female,high_school,daily,289,1486,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P020,web,error_based,en,A,2026-05-20T09:31:36.997518+00:00,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P019,web,error_based,es,A,2026-05-20T08:40:47.989248+00:00,2026-05-20T11:52:43.893252+00:00,33,male,bachelor,,168,5524,5252,523,5,9,14,30,8,326.9,1,110,2,51.2,4474.1,0.0,0.7,2,0,1,0,0,1,2,4567,3,131.4,24.3,0.0,3,81,0,0.0,21.5,0.0,0.9,2,3,0,0,3,0,4,43,0,0.0,4.6,0.0,1,72,0,0.0,248.4,76.1,0.2,0,1,0,0,1,0,3,324,3,144.3,23.9,0.0,5,10,15,30,0,0.0,2,40,0,0.0,32.6,0.0,0.8,2,0,1,1,0,1,4,66,0,0.0,15.9,0.0,1,57,0,0.0,69.7,0.0,0.8,2,3,0,0,1,0,4,122,0,0.0,29.6,11.0,2,90,0,0.0,36.7,0.0,0.6,1,1,1,1,0,1,2,77,0,0.0,24,12.5,90,0,70,20,75,80,55.8,"FA3,FA2,RW2,AE3,PU3,PU2,PU1,RW1,FA1,AE2,RW3,AE1",3,4,5,4,4,3,4,4,3,3,3,5,4.0,2.333,3.667,3.667,3.417,3,2,4,selection,4,2,3,Recordar las normas,darle más importancia a los colores,
P018,web,error_based,es,A,2026-05-20T08:14:59.438579+00:00,2026-05-20T09:08:46.984280+00:00,29,female,master,,10,356,1830,1002,10,8,18,30,6,125.0,5,21,0,0.0,4,0.0,1.0,3,1,1,3,1,1,2,25,0,0.0,32.7,0.0,3,508,0,0.0,43.4,0.0,0.9,2,3,0,2,1,0,3,205,0,0.0,18.3,0.0,2,289,3,62.5,54.3,0.0,0.8,0,1,2,0,0,2,3,173,3,62.5,16.8,0.0,7,13,20,30,0,0.0,3,60,0,0.0,20.6,0.0,0.9,2,0,1,2,0,1,5,96,0,0.0,5.2,0.0,3,136,0,0.0,58.1,0.0,0.9,2,3,0,2,1,0,4,107,0,0.0,7.5,0.0,1,477,0,0.0,28.8,0.0,0.7,1,1,1,1,0,0,4,98,0,0.0,12.4,0.0,75,0,35,50,70,90,53.3,"PU3,FA2,RW2,RW1,FA1,AE3,PU2,PU1,AE2,RW3,FA3,AE1",4,3,3,4,3,5,3,4,2,3,3,3,3.333,2.0,3.0,3.0,2.833,3,5,4,selection,1,2,3,Seguir les regles i saber quin criteri s'utilitza per les decisions finals.,Que fossin més senzilles d'entendre.,Feixuc.
